2026-03-23 19:15:07 [warning  ] Bundled web UI not mounted; build directory missing expected_paths=['C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\app\\static\\ui', 'C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\NarrarrUI\\build\\web']
INFO:     127.0.0.1:45180 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:45180 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:17286 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:45180 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:1524 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:28086 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:28086 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:28086 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:28086 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:28086 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:36852 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:21459 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:21459 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:21459 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:21459 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:21459 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:52134 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:57400 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:57400 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57400 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:57400 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57400 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:9987 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:28917 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:28917 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:28917 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:28917 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:28917 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:48907 - "OPTIONS /api/settings/prowlarr/base-url HTTP/1.1" 200 OK
2026-03-23 21:49:46 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:48907 - "PUT /api/settings/prowlarr/base-url HTTP/1.1" 204 No Content
INFO:     127.0.0.1:48907 - "OPTIONS /api/settings/prowlarr/api-key HTTP/1.1" 200 OK
2026-03-23 21:49:46 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:48907 - "PUT /api/settings/prowlarr/api-key HTTP/1.1" 204 No Content
INFO:     127.0.0.1:48907 - "OPTIONS /api/settings/prowlarr/default-language HTTP/1.1" 200 OK
2026-03-23 21:49:46 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:48907 - "PUT /api/settings/prowlarr/default-language HTTP/1.1" 204 No Content
INFO:     127.0.0.1:48907 - "OPTIONS /api/settings/prowlarr/search-template HTTP/1.1" 200 OK
2026-03-23 21:49:46 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:48907 - "PUT /api/settings/prowlarr/search-template HTTP/1.1" 204 No Content
2026-03-23 21:51:52 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:3615 - "PUT /api/settings/prowlarr/base-url HTTP/1.1" 204 No Content
2026-03-23 21:51:52 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:3615 - "PUT /api/settings/prowlarr/api-key HTTP/1.1" 204 No Content
2026-03-23 21:51:52 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:3615 - "PUT /api/settings/prowlarr/default-language HTTP/1.1" 204 No Content
2026-03-23 21:51:52 [info     ] Flushing prowlarr caches      
INFO:     127.0.0.1:3615 - "PUT /api/settings/prowlarr/search-template HTTP/1.1" 204 No Content
INFO:     127.0.0.1:23985 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:33602 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
